"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"580","Mon Jul 27 11:00:23 +0000 2020","While U.S. SARS-CoV-2 infection rates are rising, hospitalizations and death rates have steadily and dramatically d… https://t.co/KTo66fAhMB","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1287704380259602432",NA,98
"581","Sun Jul 26 10:55:05 +0000 2020","As it pertains to COVID-19, evidence suggests that if you get these two key variables right, your chances of gettin… https://t.co/vwEPEGRa32","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1287340657892298752",NA,44
"582","Sat Jul 25 20:30:21 +0000 2020","Did you know dying of a broken heart is a real condition? 

⚠️ Twitter has BANNED my website!
✅ Visit 𝐌𝐞𝐫𝐜𝐨𝐥𝐚.𝐜𝐨𝐦 t… https://t.co/DPPq4pR4At","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1287123043131817984",NA,78
"583","Sat Jul 25 10:45:12 +0000 2020","While most countries closed schools and businesses, data suggest their refusal to implement a full shutdown of thei… https://t.co/TdWVmgF38B","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286975785291714560",NA,181
"584","Fri Jul 24 19:30:39 +0000 2020","In the latest remdesivir trial, four of the five patients developed major side effects, including kidney failure. H… https://t.co/fqPErdE6tI","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286745630526889984",NA,125
"585","Fri Jul 24 11:30:58 +0000 2020","If you're taking vitamin C or zinc to help guard against COVID-19, you'll want to add this to your regimen.

⚠️ Twi… https://t.co/El6Q0N8wRl","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286624913999134721",NA,111
"586","Fri Jul 24 08:39:10 +0000 2020","Can you complete this challenge too?

Watch the video here 👉 https://t.co/USWDD19UMm https://t.co/uYo7JZD9XK","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://youtu.be/NYt0oQ6Hex0",NA,11
"587","Thu Jul 23 18:30:52 +0000 2020","People are not experiencing increased loneliness and may even be feeling increased levels of social support as peop… https://t.co/rBW7hknMIH","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286368198036774913",NA,14
"588","Thu Jul 23 11:30:38 +0000 2020","According to the AAP, the academic, physical and mental benefits of returning children to school for in-person lear… https://t.co/DQIVGNQSM4","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286262440259452930",NA,51
"589","Wed Jul 22 23:30:24 +0000 2020","People taking proton pump inhibitors have increased odds of testing positive for COVID-19. The low-acid environment… https://t.co/jfpZbBcgJt","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286081188889853959",NA,64
"590","Wed Jul 22 19:30:34 +0000 2020","Alterations in smell may happen more often than fever in COVID-19. Is it possible that zinc utilization is one trig… https://t.co/7jyA4lPOBR","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1286020835489329159",NA,44
"591","Wed Jul 22 11:30:13 +0000 2020","It's a largely hidden issue of the pandemic, but it's happening in far more than one hospital in this country. 

⚠️… https://t.co/qJvyArVxo3","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285899949285179393",NA,53
"592","Tue Jul 21 21:45:17 +0000 2020","Recognizing the signs of sepsis, and using a cutting-edge protocol involving vitamin C to treat it, could improve o… https://t.co/tTJios6gC2","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285692349323137024",NA,70
"593","Tue Jul 21 18:45:28 +0000 2020","UN has enlisted 10,000 digital volunteers to rid the Internet of so-called 'false' information that's supposedly wo… https://t.co/VXmpBi7Avu","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285647096159375363",NA,137
"594","Tue Jul 21 10:45:16 +0000 2020","Research suggests ultraviolet (UV) radiation exposure lowers COVID-19 mortality rates even when the irradiation is… https://t.co/HrHBUNN26X","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285526251659243520",NA,78
"595","Mon Jul 20 22:45:13 +0000 2020","Resveratrol, a phytonutrient found in red grapes, berries and other fruits, has been found to fight and prevent ost… https://t.co/4fMaMZrAcl","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1285345043398692871",NA,69
